global.roomMusic:"CrystalPalace"
parCamera.tex:bacBlack

objBadge(32,96,55,0,0,0,-1,"Attack FX C")
objCoin(0,64,100,0,0,0,-1,"")
objTrampoline(80,256,0,0,0,0,-1,"")
objSaveBlock(48,272,39,0,0,0,-1,"")
objFloorBlock(0,0,0,640,480,-5,-1,"floor;-1")
objFloorBlock(0,0,0,64,64,5,-1,"elevator;0,100,0,2,15,15,1")
objFloorBlock(0,64,50,64,128,55,-1,"floor;0")
objFloorBlock(0,128,100,64,192,105,-1,"elevator;0,100,100,2,15,15,-1")
objFloorBlock(64,0,50,128,192,55,-1,"floor;0")
objFloorBlock(278,0,59,342,64,64,-1,"floor;0")
objFloorBlock(352,0,0,352,320,64,-1,"wall")
objFloorBlock(320,256,0,352,320,32,-1,"floor;-1")
objFloorBlock(320,320,0,352,384,64,-1,"floor;-1")
objFloorBlock(352,0,64,640,384,64,-1,"floor;-1")
objFloorBlock(0,0,0,640,0,1000,-1,"wall-invisible")
objFloorBlock(0,496,0,0,864,1000,-1,"wall-invisible")
objFloorBlock(192,496,0,192,864,192,-1,"wall-invisible")
objMirror(192,496,0,192,656,192,-1,"")
objFloorPillar(176,464,0,208,496,192,bacCrystalPalacePillar,"floor-noRepeat;-1")
objFloorPillar(176,656,0,208,688,192,bacCrystalPalacePillar,"floor-noRepeat;-1")
objFloorBlock(0,480,0,192,672,0,bacCrystalPalaceFloor,"floor-noRepeat;-1")
objFloorBlock (192,480,0,384,672,0,bacCrystalPalaceFloor,"floor-noRepeat;-1")
objFloorBlock(384,480,0,384,672,192,bacCrystalPalaceWall,"wall-noRepeat")
objMirror(192,688,0,192,864,192,-1,"")
objFloorPillar(176,848,0,208,880,192,bacCrystalPalacePillar,"floor-noRepeat;-1")
objFloorBlock(0,672,0,192,864,0,bacCrystalPalaceFloor,"floor-noRepeat;-1")
objFloorBlock (192,672,0,384,864,0,bacCrystalPalaceFloor,"floor-noRepeat;-1")
objFloorBlock(384,672,0,384,864,192,bacCrystalPalaceWall,"wall-noRepeat")
